date,stablecoin,price,peg_value,market_cap,volume,jurisdiction,reserve_type,compliance_status,peg_currency,btc_volatility,eth_volatility,usd_short_rate,dxy,vix,volume_source
2024-02-05,EURC,1.0820000085024941,1.0780043601989746,47594035.0,,EU,fiat_reserve,regulated,EUR,0.007731897403251105,0.012731132925455343,0.052280001640319824,104.44999694824219,13.670000076293945,missing
2024-02-06,EURC,1.0809999980008744,1.0741831064224243,47584807.0,,EU,fiat_reserve,regulated,EUR,0.0084322536258008,0.017484271434526577,0.052230000495910645,104.18000030517578,13.0600004196167,missing
2024-02-07,EURC,1.0810000051447293,1.075719952583313,47486659.0,,EU,fiat_reserve,regulated,EUR,0.012510156911452209,0.013555701541814071,0.052230000495910645,104.04000091552734,12.829999923706055,missing
2024-02-08,EURC,1.084000001822993,1.077574610710144,47570126.0,,EU,fiat_reserve,regulated,EUR,0.013894349499812553,0.014087111936881848,0.052179999351501465,104.1500015258789,12.789999961853027,missing
2024-02-09,EURC,1.0810000171804997,1.0777255296707153,47441811.0,,EU,fiat_reserve,regulated,EUR,0.01846356898557437,0.015801556862957394,0.052199997901916505,104.08000183105469,12.930000305175781,missing
2024-02-10,EURC,1.0769999947430455,1.0777255296707153,47530181.0,,EU,fiat_reserve,regulated,EUR,0.01684962554641786,0.014447723163326156,0.052199997901916505,104.08000183105469,12.930000305175781,missing
2024-02-11,EURC,1.0810000159521378,1.0777255296707153,47706710.0,,EU,fiat_reserve,regulated,EUR,0.013214705739661948,0.013624919451255414,0.052199997901916505,104.08000183105469,12.930000305175781,missing
2024-02-12,EURC,1.0790000166772349,1.0798202753067017,47618446.0,,EU,fiat_reserve,regulated,EUR,0.012168948783974797,0.02153205623820714,0.052280001640319824,104.16999816894531,13.930000305175781,missing
2024-02-13,EURC,1.0719999945501977,1.0772264003753662,47209052.0,,EU,fiat_reserve,regulated,EUR,0.015453809256623145,0.023087632081868318,0.052329998016357425,104.95999908447266,15.850000381469727,missing
2024-02-14,EURC,1.0730000005875913,1.0708931684494019,47478574.0,,EU,fiat_reserve,regulated,EUR,0.017275363730288807,0.026789656202377433,0.052179999351501465,104.72000122070312,14.380000114440918,missing
2024-02-15,EURC,1.0710000042679129,1.0732147693634033,47428101.0,,EU,fiat_reserve,regulated,EUR,0.018958047706598567,0.025179390073324065,0.052179999351501465,104.30000305175781,14.010000228881836,missing
2024-02-16,EURC,1.0739999987360414,1.0773887634277344,47583832.0,,EU,fiat_reserve,regulated,EUR,0.01719764264483768,0.02736361886738254,0.052230000495910645,104.27999877929688,14.239999771118164,missing
2024-02-17,EURC,1.0760000100960814,1.0773887634277344,47746050.0,,EU,fiat_reserve,regulated,EUR,0.019510289099818917,0.028537971884710217,0.052230000495910645,104.27999877929688,14.239999771118164,missing
2024-02-18,EURC,1.0750000078875688,1.0773887634277344,47701644.0,,EU,fiat_reserve,regulated,EUR,0.019533813074494963,0.028493408406597587,0.052230000495910645,104.27999877929688,14.239999771118164,missing
2024-02-19,EURC,1.0760000164061432,1.0784927606582642,47746018.0,,EU,fiat_reserve,regulated,EUR,0.01740370721155828,0.022702292189303395,0.052230000495910645,104.27999877929688,14.239999771118164,missing
2024-02-20,EURC,1.0750000078863249,1.0775396823883057,47709169.0,,EU,fiat_reserve,regulated,EUR,0.01691987324814825,0.020849054724452868,0.052129998207092285,104.08000183105469,15.420000076293945,missing
2024-02-21,EURC,1.0789999838662674,1.0813149213790894,47818134.0,,EU,fiat_reserve,regulated,EUR,0.008208712746330685,0.018589767860565303,0.052350001335144045,104.01000213623047,15.34000015258789,missing
